ID,MID,WILAYAH,CHANNEL
,203165766,WPL,PPP
,203165774,WPL,PPP
,203165782,WPL,PPP
,203165790,WPL,PPP
,203165808,WPL,PPP
,203165816,WPL,PPP
,203165824,WPL,PPP
,203165832,WPL,PPP
,203165840,WPL,PPP
,203165857,WPL,PPP
,203165865,WPL,PPP
,203165873,WPL,PPP
,203165881,WPL,PPP
,203165899,WPL,PPP
,203165907,WPL,PPP
,203165915,WPL,PPP
,203165923,WPL,PPP
,203165931,WPL,PPP
,203165949,WPL,PPP
,203165956,WPL,PPP
,203165964,WPL,PPP
,203165972,WPL,PPP
,203165980,WPL,PPP
,203165998,WPL,PPP
,203166004,WPL,PPP
,203166012,WPL,PPP
,203166020,WPL,PPP
,203166038,WPL,PPP
,203166046,WPL,PPP
,203166053,WPL,PPP
,203166061,WPL,PPP
,203166079,WPL,PPP
,203166087,WPL,PPP
,203166095,WPL,PPP
,203166103,WPL,PPP
,203166111,WPL,PPP
,203166129,WPL,PPP
,203166137,WPL,PPP
,204057103,WBN,PPP
,204166524,WBN,PPP
,204166532,WBN,PPP
,204166540,WBN,PPP
,204166557,WBN,PPP
,204166565,WBN,PPP
,204166573,WBN,PPP
,204166581,WBN,PPP
,204166599,WBN,PPP
,204166607,WBN,PPP
,204166615,WBN,PPP
,204166623,WBN,PPP
,204166631,WBN,PPP
,204166649,WBN,PPP
,204166656,WBN,PPP
,204166664,WBN,PPP
,204166672,WBN,PPP
,204166680,WBN,PPP
,204166698,WBN,PPP
,204166706,WBN,PPP
,204166714,WBN,PPP
,204166722,WBN,PPP
,204166730,WBN,PPP
,204166748,WBN,PPP
,204166755,WBN,PPP
,204166763,WBN,PPP
,204166771,WBN,PPP
,204166789,WBN,PPP
,204166797,WBN,PPP
,204166805,WBN,PPP
,204166813,WBN,PPP
,204166821,WBN,PPP
,204166839,WBN,PPP
,204166847,WBN,PPP
,204166854,WBN,PPP
,204166862,WBN,PPP
,204166870,WBN,PPP
,204166888,WBN,PPP
,204166896,WBN,PPP
,204166904,WBN,PPP
,204166912,WBN,PPP
,204166920,WBN,PPP
,204166938,WBN,PPP
,204166946,WBN,PPP
,204166953,WBN,PPP
,204166961,WBN,PPP
,204166979,WBN,PPP
,204166987,WBN,PPP
,204166995,WBN,PPP
,204167001,WBN,PPP
,204167019,WBN,PPP
,204167027,WBN,PPP
,204167035,WBN,PPP
,204167043,WBN,PPP
,204167050,WBN,PPP
,204167068,WBN,PPP
,204167076,WBN,PPP
,204167084,WBN,PPP
,204167092,WBN,PPP
,204167100,WBN,PPP
,204167118,WBN,PPP
,204167126,WBN,PPP
,204167134,WBN,PPP
,204167142,WBN,PPP
,204167159,WBN,PPP
,204167167,WBN,PPP
,204167175,WBN,PPP
,204167183,WBN,PPP
,204167191,WBN,PPP
,204167209,WBN,PPP
,204167217,WBN,PPP
,204167225,WBN,PPP
,204167233,WBN,PPP
,204167241,WBN,PPP
,204167258,WBN,PPP
,204167266,WBN,PPP
,204167274,WBN,PPP
,204167282,WBN,PPP
,204167290,WBN,PPP
,204167308,WBN,PPP
,204167316,WBN,PPP
,204167324,WBN,PPP
,204167332,WBN,PPP
,204167340,WBN,PPP
,204167357,WBN,PPP
,204167365,WBN,PPP
,204167373,WBN,PPP
,204167381,WBN,PPP
,204167399,WBN,PPP
,204167407,WBN,PPP
,204167415,WBN,PPP
,204167423,WBN,PPP
,204167431,WBN,PPP
,204167449,WBN,PPP
,204167456,WBN,PPP
,204167464,WBN,PPP
,204167472,WBN,PPP
,204167480,WBN,PPP
,204167498,WBN,PPP
,204167506,WBN,PPP
,204167514,WBN,PPP
,204167522,WBN,PPP
,204167530,WBN,PPP
,204167548,WBN,PPP
,204167555,WBN,PPP
,204167563,WBN,PPP
,204167571,WBN,PPP
,204167589,WBN,PPP
,204167597,WBN,PPP
,204167605,WBN,PPP
