NO,MID,MERCHANT DBA NAME,STATUS EDC,OPENDATE,CITY,MSO,SOURCE CODE,POS1
4186,001029222,EXH MANDALA MEDAN MBL    ,08,101109,MEDAN        ,100,B3X1MA000000000000,001
4187,001029230,PRIMA SUNGGAL            ,08,191109,MEDAN        ,168,A1X2MA000000000000,001
4188,001029248,C-TWO SALON              ,08,031209,MEDAN        ,093,A1X2DA000000000000,001
4189,001029255,RODA MAS AUDIO           ,08,101209,MEDAN        ,093,A1X2DA000000000000,001
4190,001029263,MODERN LUBUK PAKAM       ,08,201109,DELI SERDANG ,146,A1X2MA000000000000,001
4191,001029271,EMPERORS EYES            ,08,241109,MEDAN        ,146,A1X1MA000000000000,001
4192,001029289,NANO-NANO REFLEKSI KLRG  ,08,241109,MEDAN        ,146,A1X1MA000000000000,001
4193,001029297,4WD SPEED CENTER         ,08,151209,MEDAN        ,093,A1X2DA000000000000,001
4194,001029305,DE WAROENG               ,08,081209,MEDAN        ,093,A1X2DA000000000000,001
4195,001029313,HERBALIFE MBL            ,08,251109,MEDAN        ,168,B1X2MA000000000000,001
4196,001029339,CITRA MANDIRI ASIA       ,08,091209,MEDAN        ,146,A1X1MA000000000000,001
4197,001029347,CK FASHION MBL           ,08,251109,MEDAN        ,168,B1X2MA000000000000,001
4198,001029362,EXH C-TWO SALON MBL      ,08,011209,MEDAN        ,093,B3X2DA000000000000,001
4199,001029370,EXH MABUA HD MEDAN MBL   ,08,261109,MEDAN        ,093,                  ,001
4200,001029388,MAKMUR DJAJA ELECTRONIC  ,08,151209,MEDAN        ,093,A1X2DA000000000000,001
4201,001029396,TOKO SENTOSA             ,08,171209,MEDAN        ,093,A1X2DA000000000000,001
4202,001029404,MUTIARA SPA              ,08,140310,MEDAN        ,093,A1X2DA000000000000,001
4203,001029412,TK MAS SINAR MAS STABAT  ,08,141209,STABAT       ,167,A1X2MA000000000000,001
4204,001029420,EXH TOYS KINGSUN MBL     ,08,231209,MEDAN        ,168,B3X2MA000000000000,001
4205,001029446,TREKKER MOTOR AUDIO      ,08,211209,MEDAN        ,167,A1X1MA000000000000,001
4206,001029453,BERJAYA TRAVEL           ,08,101209,MEDAN        ,187,A1X1MA000000000000,001
4207,001029461,OCEAN TRAVEL             ,08,101209,MEDAN        ,187,A1X1MA000000000000,001
4208,001029479,RENNYS                   ,08,101209,MEDAN        ,146,A1X2MA000000000000,001
4209,001029487,DUTA PONSEL MEDAN        ,08,241209,MEDAN        ,167,A1X2MA000000000000,001
4210,001029495,BHINNEKA SAMPOERNA MBL   ,01,241209,MEDAN        ,167,B1X2MA007008006AK1,001
4211,001029503,SPBU 14 201 1148 MBL     ,01,101209,MEDAN        ,146,B1X2MA008246265AK1,002
4212,001029511,BIT N BYTE MEDAN         ,08,101209,MEDAN        ,187,A1X2MA000000000000,001
4213,001029529,O2 AUDIO                 ,08,161209,MEDAN        ,167,A1X2MA000000000000,001
4214,001029537,INDOJAYA                 ,08,231209,MEDAN        ,167,A1X2MA000000000000,001
4215,001029545,TOKO MAS SEAN            ,08,241209,MEDAN        ,167,A1X2MA000000000000,001
4216,001029552,UD. SENI KREASI PRINTING ,08,141209,MEDAN        ,167,A1X2MA000000000000,001
4217,001029560,PT TIGA SEMESTA EX       ,08,281209,MEDAN        ,100,A1X1MA000000000000,002
4218,001029578,EXHB INDEX SUN PLAZA     ,08,121209,MEDAN        ,100,A3X1MA000000000000,002
4219,001029586,EXHB INDEX JUANDA MDN    ,08,121209,MEDAN        ,100,A3X1MA000000000000,003
4220,001029594,YUDHA PONSEL             ,08,121209,STABAT       ,167,A1X2MA000000000000,001
4221,001029602,RADJA AUTO SERVICE       ,08,141209,MEDAN        ,187,A1X1MA000000000000,001
4222,001029610,STANLEY BY ALUN SPA&SC   ,08,200110,MEDAN        ,093,A1X2DA000000000000,001
4223,001029628,STANLEY SALON 1          ,08,200110,MEDAN        ,093,A1X2DA000000000000,001
4224,001029636,STANLEY SALON 2          ,08,200110,MEDAN        ,093,A1X2DA000000000000,001
4225,001029644,EXHB FITPLUS MEDAN       ,08,231209,MEDAN        ,100,A3X1MA000000000000,001
4226,001029651,SPBU 14 201 1134 SELAYANG,08,311209,MEDAN        ,146,A1X2MA000000000000,002
4227,001029669,SPBU 14 201 105 PNG BRS  ,08,311209,MEDAN        ,146,A1X2MA000000000000,002
4228,001029677,SPBU 14 202 185 DENAI    ,08,311209,MEDAN        ,146,A1X2MA146000000000,002
4229,001029719,BOUTIQUE ANUGRAH MBL     ,08,080110,MEDAN        ,168,B1X2MA000000000000,001
4230,001029727,MAJESTY HOLIDAYS         ,08,250110,MEDAN        ,146,A1X1MA000000000000,001
4231,001029735,SPBU 14 201121           ,08,060110,MEDAN        ,168,A1X2MA000000000000,002
4232,001029743,SPBU 14 202 126 SM RAJA  ,01,150110,MEDAN        ,146,P1X1MA007002265AK1,001
4233,001029750,GS-SHOP SUN PLAZA        ,08,070110,MEDAN        ,174,A1X2MA000000000000,001
4234,001029768,GAMESPOT DELI PLAZA      ,08,070110,MEDAN        ,174,A1X2MA000000000000,001
4235,001029776,GAMESPOT THAMRIN PLAZA   ,08,070110,MEDAN        ,174,A1X2MA000000000000,001
4236,001029784,GS-SHOP MILLENIUM PLAZA  ,08,070110,MEDAN        ,174,A1X2MA000000000000,001
4237,001029792,GS-SHOP PLAZA MDN FAIR   ,08,070110,MEDAN        ,174,A1X2MA000000000000,001
4238,001029800,GAMESPOT MEDAN MALL      ,08,070110,MEDAN        ,174,A1X2MA000000000000,001
4239,001029818,GAMESPOT MEDAN PLAZA     ,08,070110,MEDAN        ,174,A1X2MA000000000000,001
4240,001029826,AL-QOLAM                 ,08,120110,MEDAN        ,168,A1X2MA000000000000,001
4241,001029834,SHIBUYA MBL              ,08,150110,MEDAN        ,168,                  ,001
4242,001029842,GRAND DUCKING RESTAURANT ,08,080110,MEDAN        ,093,A1X1DA000000000000,001
4243,001029859,SPBU 14 201 1147 NUSA TG ,08,240310,MEDAN        ,146,A1X2MA000000000000,002
4244,001029867,NIDOLUX LUBUK PAKAM MBL  ,08,150110,MEDAN        ,100,B1X1MA000000000000,001
4245,001029875,SERBA DECOR MBL          ,01,250110,MEDAN        ,168,B1X2MA007810006FS1,001
4246,001029883,FASHION KIDS             ,08,250110,MEDAN        ,093,A1X2DA000000000000,001
4247,001029891,TK BESI&CAT RENE MAMPIR  ,08,280110,MEDAN        ,168,A1X2MA000000000000,001
4248,001029909,TY CELLULAR              ,08,180210,MEDAN        ,168,A1X1MA000000000000,001
4249,001029917,BINTANG MOTOR MEDAN      ,08,280110,MEDAN        ,168,A1X2MA000000000000,001
4250,001029925,KARYA BARU               ,08,280110,MEDAN        ,168,A1X2MA000000000000,001
4251,001029933,SPBU 14 201 123 GATSU    ,08,280110,MEDAN        ,146,A1X2MA146000000000,001
4252,001029941,XCARREFOUR MEDAN CITRA   ,08,200110,MEDAN        ,100,A1X1MA000000000000,001
4253,001029958,SUMAN MARK               ,08,100210,PIDIE        ,146,A1X2MA000000000000,001
4254,001029966,TK MAS SINGGALANG LBK PKM,08,150210,DELI SERDANG ,146,                  ,001
4255,001029974,KEDAI AISYAH             ,08,080210,MEDAN        ,167,A1X2MA000000000000,001
4256,001029982,EXH ACC FAIR SUN PLAZA   ,08,020210,MEDAN        ,100,A3X1MA000000000000,002
4257,001029990,AUTO INTERIOR            ,08,240210,MEDAN        ,168,A1X2MA000000000000,001
4258,001030006,WIMO TRAVEL & TOUR       ,08,110310,MEDAN        ,216,A1X1MA000000000000,001
4259,001030014,WAHANA FAJAR             ,08,180210,MEDAN        ,167,                  ,001
4260,001030022,TOKO MAS MENTARI         ,08,180210,MEDAN        ,167,A1X2MA000000000000,001
4261,001030030,NATURAL                  ,08,020310,MEDAN        ,168,A1X2MA000000000000,001
4262,001030048,FEMALE STYLE MBL         ,08,230210,MEDAN        ,146,B1X2MA000000000000,001
4263,001030055,SPBU 14 203 1199         ,08,240210,DELI SERDANG ,146,A1X2MA000000000000,003
4264,001030063,NSCC PEUNAYONG NAD       ,08,150210,BANDA ACEH   ,000,A1X1MA000000000000,001
4265,001030071,BAKERZIN AT 9TD COMPLEX  ,08,110310,MEDAN        ,168,A1X1MA000000000000,001
4266,001030089,GRAND MAXIM MBL          ,01,120210,MEDAN        ,146,B1X1MA007031006MR1,001
4267,001030097,SPBU 14 201 103 SETIA BD ,08,230210,MEDAN        ,146,A1X1MA000000000000,002
4268,001030105,EXH FEATHER WORLD SUN PLA,08,050310,MEDAN        ,093,A3X1DA000000000000,001
4269,001030113,TOKO ACC DIESEL MANDALA  ,08,170310,MEDAN        ,216,A1X2MA000000000000,001
4270,001030121,TOKO ACC DIESEL PUKAT    ,08,170310,MEDAN        ,216,A1X2MA000000000000,001
4271,001030139,VALENTINO AUTO SRVC MDN  ,08,020310,MEDAN        ,168,A1X2MA000000000000,001
4272,001030147,PINGUIN BOUTIQUE         ,08,100310,MEDAN        ,168,A1X2MA000000000000,001
4273,001030154,PINK QUEENS              ,08,180210,MEDAN        ,146,A1X2MA000000000000,001
4274,001030162,BTSSOFT / SUKSES KOMP    ,08,120310,MEDAN        ,168,A1X2MA000000000000,001
4275,001030170,GUNUNG MULIA MBL         ,01,230210,MEDAN        ,146,B1X2MA007002006AK1,001
4276,001030188,CV. PERFECTA JASATAMA    ,08,290310,MEDAN        ,168,A1X1MA000000000000,001
4277,001030194,KEMENTERIAN HUKUM & HAM  ,08,210814,PALU         ,   ,B1Y1AQ000000000000,002
4278,001030196,HOTEL ELBRUBA            ,08,090310,MEDAN        ,168,A1X2MA000000000000,001
4279,001030204,IDO SWALAYAN MBL         ,08,100510,MEDAN        ,093,B1X2MA007005006AK1,001
4280,001030212,MODE FASHION PERBAUNGAN  ,01,240210,PERBAUNGAN   ,167,A1X2MA000000000000,001
4281,001030220,MODE FASHION TAMORA MBL  ,01,240210,TANJUNGMORAWW,167,B1X2MA006898006AK1,001
4282,001030236,MID IMIGRASI MND 15      ,08,210814,MANADO       ,   ,B1Y1AQ000000000000,001
4283,001030238,MODE FASHION STABAT      ,01,240210,STABAT       ,167,A1X2MA000000000000,001
4284,001030246,MODE FASHION BINJAI      ,01,240210,BINJAI       ,167,A1X2MA000000000000,001
